id,product_name,message_model,message_type,payment_network,tag,description,message,updated_at
4d6701cd-63f2-49a0-9093-121437db3652,COMPRA_COM_CHIP_SENHA_MASTER,SINGLE_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,teste,F0F2F0F0F2200401808100020000000000000040F1F6F5F8F9F9F1F6F0F0F0F0F1F1F1F1F2F2F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F1F2F0F3F2F0F1F0F1F2F5F8F1F3F1F0F0F8F0F5F1F0F9F1F2F3F4F5F6F7F8F9F1F0F1F2F3F4F5F6F7F8F9F0E3C5D9D4F1F2F3F4F0F0F8D9F0F5F1F5F4F5F4F0F1F2D4C4E2F1F2F3F4F5F6F7F8F9F0F2F3D4C1D9C3C5D3D640D4C5E2E2C9C1E240C7C1C2D9C9C5D3,2026-03-22T19:00:01.752418
4b34a887-194a-4450-8432-4cfb02f95385,COMPRA_CNTACTLESS_MASTER,DUAL_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,teste,F0F1F0F0F2200400000100020000000000000040F1F6F5F8F9F9F1F6F0F0F0F0F1F1F1F1F2F2F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F1F2F0F3F2F0F1F0F1F2F5F8F1F2F3F4F5F6F0F5F1F0F0F8D9F0F5F1F5F4F5F4F0F1F2D4C4E2F1F2F3F4F5F6F7F8F9F0F1F5D4C1D9C3C5D3D640D4C5E2E2C9C1E2,2026-03-22T20:27:43.440470500
19a97e44-4c56-4e0f-87fe-aae07ff046ae,ESTORNO_SINGLE_MASTER,SINGLE_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,teste,F0F4F2F0F2000400000100020000004000000040F1F6F5F8F9F9F1F6F0F0F0F0F1F1F1F1F2F2F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F1F2F0F3F2F0F1F0F1F2F5F8F0F5F1F0F0F8D9F0F5F1F5F4F5F4F0F1F2D4C4E2F1F2F3F4F5F6F7F8F9F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F2F0F0F0F3F2F0F1F0F2F5F5F8F0F2F3D4C1D9C3C5D3D640D4C5E2E2C9C1E240C7C1C2D9C9C5D3,2026-03-20T01:37:52.838115400
4837b0c2-cf64-479b-a8fd-9b5c9ce8bf18,ESTORNO_DUAL_MASTER,DUAL_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,descricao,F0F4F0F0F2000400000100020000004000000000F1F6F5F8F9F9F1F6F0F0F0F0F1F1F1F1F2F2F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F1F2F0F3F2F0F1F0F1F2F5F8F0F5F1F0F0F8D9F0F5F1F5F4F5F4F0F1F2D4C4E2F1F2F3F4F5F6F7F8F9F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F2F0F0F0F3F2F0F1F0F2F5F5F8,2026-03-22T18:21:07.443610400
3c04e46d-f367-4621-a97f-6edc1ff9b528,COMPRA_COM_CHIP_SENHA_VISA,DUAL_MESSAGE,AUTORIZACAO,VISA,marcelo,teste,0100F664668128F0BA3600000000010000001048248100617227060020000000000064000000000012230321133832719109385000703204553300760510000000064894092504824810061722706D32042200900087500027F6F0F8F0F1F3F5F0F0F0F7F0D7E5F1F0F2F8F5F3F0F7F9F6F5F2F7F4F3404040404040C7C5C5C6D7C5D3404040404040404040404040404040404040E2C1D3E5C1C4D6D94040404040C2D90940404040F14040404009860840D6E6CA3D2462837320010101000000005001004D9F3303E0F0C8950500800480009F370455966AD59F100706071203A020239F2608F2A1CE985A8CF9899F36020210820238009C01009F1A0200769A032603219F02060000000064005F2A0209860DF0F0F0F0F0F4F0F3F0F0F1F6F104050000131BC0000C0000000000C50586080491136479F0F5F0F0F0F0F0F0F0F00580000000020757000483026085,2026-03-21T20:38:13.407747800
2d9733aa-c309-4ca9-8407-a33df5bc47ff,CONCILIACAO_MASTER_DUAL_MESSAGE,DUAL_MESSAGE,CONCILIACAO,MASTERCARD,marcelo ; conciliacao ; dual_message,,F1F2F4F0FCD0074284E1E2020200000C10000000F1F6F5F3F2F0F0F1F0F0F0F7F0F4F4F6F3F0F0F0F2F0F0F0F0F0F0F0F0F0F0F2F5F0F0F0F0F0F0F0F0F0F0F2F5F0F0F0F0F0F0F0F0F0F0F2F5F0F0F0F6F1F0F0F0F0F0F0F6F1F0F0F0F0F0F0F2F6F0F3F2F0F1F6F2F1F0F3D4F1F0F9F0F1C3F1F9F0F0F1F0F0F0F2F0F0F8F6F6F1F2F3F2F2F7F1F1F6F2F6F0F8F0F0F3F5F1F0F8F2F5F1F6F2F5F0F6F0F3F0F8F2F9F8F3F7F9F0F7F2F0F4F4F8F7F7F8F1F1F0F0F0F4F3F1F0F0F1F3404040F5F3D7C1D9D6D8E4C9C140E2C1D5E3C1D5C1E0C1E540E3D9C9D5E3C1E0D9C9D640C3D3C1D9D6E0F1F3F5F0F0F2F7F04040E2D740C2D9C1F2F6F4F0F0F0F2F0F0F3D4C4E2F0F0F0F3F0F0F3D4C4E2F0F0F1F5F0F0F7F2F6F0F3F2F0F1F0F0F2F3F0F0F3D7D6C9F0F1F4F6F0F3F6F0F0F2F9F0F1F9F8F6F0F0F0F0F0F0F0F0F0F3F0F9F8F6F0F0F0F0F0F0F3F0F0F1F4F8F0F0F4F9F8F6F2F0F1F5F8F0F3F1C4D4C3F4F0F7F6F0F0F0C9C1F2F6F0F3F2F1F0F4F0C4D4C3D5D5D5D5D5D5D5D5F0F1F5F9F0F6F7F3F1F6F840404040404040F0F0F0F0F0F0F0F0F3F1F6F8404040404040404040404040404040F3D3C1F0F0F0F9F8F6F2F0D5F2F6F0F3F2F1F0F4F2F6F0F3F2F3F0F1F0F1F6F5F0F3F0D440404040404040404040404040404040404040404040404040404040404040404040F0F1F7F7F0F0F2D540F0F1F9F1F0F0F1F2F9F8F6F9F8F6F9F8F6F1F1F99F0306000000000000009F1A0200769F3602004982023900840AA0000000041010D07612950500000480009A032603209C01005F2A0209869F3704D8699B949F10120710A040032200000000000000000000FF9F2608763D97D5302436789F2701809F34034203009F02060000000250009F3303E0F0E8F0F1F640D4C4E2D3E9D2C4E3F7F0F3F2F04040F0F0F4F5F0F8F6F1F0F6F0F0F3F1F6F8F0F6F0F3F0F8F2F9F0F6F0F0F3F1F6F8,2026-03-22T14:14:29.605290
aa410f63-2858-4879-af6c-38b342d1a68b,ESTORNO_VISA,DUAL_MESSAGE,AUTORIZACAO,VISA,TESTE,TESTE,0400F2200000000000000000004000000000064901720000000000000012140322181050677216F4F8F2F9F1F0F5F7F3F6F4F0F1F9F2F8F5F7F3F6F4F0F1F9F2F8F4F7F5F6F1F0F2F9F3F8F4F7F5F6F1F1,2026-03-22T18:13:38.124152900
02da2cd2-9c36-44ca-9754-6bbf0c8c3c69,CONCILIACAO_SINGLE_MESSAGE,SINGLE_MESSAGE,CONCILIACAO,MASTERCARD,teste,teste,C6D9C5C3F2F4F1F9F8F6F8F4F0C9F0F3F0F1F0F3F1F9F2F6F2F0F1F3F0F0F1F6F5F2F3F4F3F1F1F4F0F5F1F4F6F7F8F6404040F0F0F0F0F0F0F4F9F2F7F2F2F5F5F4F2F0F7F1F6F0F7F8F0F4F0F1F2F7F2F2F1F1F2F1F0F0F0F2F4F8F1F0F0F4F0F1F0F14040F0F0D4E2F1F2F5F1F0F2F1F040404040D4D7F7F0F7F6F8F4F0F2F0F0F0F0F0F0F0F0F8F9F9F9C4F0F0F0F0F0F0F0F0F0F0F0F0C4F0F0F0F0F0F0F0F0C4F8F4F0F2F1F1F0F0F0F0F0F0F0F0F0F0F0F0F0F0F8F9F9F9C4F0F0F0F0F0F0F0F0F5F8C3404040404040404040404040404040F4D5E8E840F0F0F0F0F0F0F0F1F2F5F0F0404040404040404040404040F2F8F6F8F4F040C6D7E2E3F2F4F1F9F8F6F8F4F0F0F0F0F0F0F1F4F0F0F1F3F1F7F0F0F0F6F2F8F2F7F1F9F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0404040404040404040F1F9F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0404040404040404040E2C6D440F1F8F5404040404040404040404040404040D6D9D3C1D5C4D6404040404040404040E4E2C1D5D5F0F0F0F0F0F0F0F0F0F1F0F0F4F0F1F0F0F0F0F0F0F0F4F7F8F0F4F9F8F6C4F2404040F0F0F0F3F0F140404040404040404040404040404040404040404040404040404040404040404040404040F0F1F0F0F0F0F0F0F0F0F0404040404040404040404040404040404040404040404040,2026-03-22T18:27:31.780975900
7c9ba56f-8c66-4181-af64-693661b07369,bbbbb,SINGLE_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,teste,F0F1F0F0F820000008C040000000000000080000F1F6F1F2F3F4F5F6F7F8F9F0F1F2F3F4F5F6F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F0F0F0F0F0F0F0F0F0F0F2F0F0F0F1F2F3F4F5F6E3C5D9D4F0F0F0F1F0F0F0F1E3C5D9D4F0F0F0F1D4C5D9C3C8C1D5E3F0F0F0F0F0F0F1F9F8F6F0F2F1A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7,2026-03-22T21:42:29.660208400
193152ef-818f-4c66-8df2-2576c3bf8937,bbbbb,SINGLE_MESSAGE,AUTORIZACAO,MASTERCARD,marcelo,teste,F0F1F0F0F820000008C040000000000000080000F1F6F1F2F3F4F5F6F7F8F9F0F1F2F3F4F5F6F0F0F0F0F0F0F0F0F0F0F0F0F0F0F1F0F0F0F0F0F0F0F0F0F0F0F2F0F0F0F1F2F3F4F5F6E3C5D9D4F0F0F0F1F0F0F0F1E3C5D9D4F0F0F0F1D4C5D9C3C8C1D5E3F0F0F0F0F0F0F1F9F8F6F0F2F1A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7A7,2026-03-22T21:42:36.398242400
